Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
2135521,24,1,single,owned,no,Financial_Analyst,Chapra,Bihar,1,10,0
3393343,39,2,single,rented,yes,Drafter,Buxar[37],Bihar,2,13,0
9468291,32,0,single,rented,no,Geologist,Visakhapatnam[4],Andhra_Pradesh,0,12,0
3540135,78,4,single,rented,no,Biomedical_Engineer,Howrah,West_Bengal,4,11,0
8404973,24,7,single,rented,yes,Designer,Ozhukarai,Puducherry,3,12,0
9186273,50,20,single,rented,no,Microbiologist,Madanapalle,Andhra_Pradesh,10,14,0
9878857,32,16,single,rented,yes,Chemical_engineer,Sirsa,Haryana,11,12,0
1923313,71,5,single,rented,no,Magistrate,Pallavaram,Tamil_Nadu,3,10,0
5497030,35,19,single,owned,no,Petroleum_Engineer,Surat,Gujarat,11,10,0
7848654,55,9,single,rented,no,Software_Developer,Patna,Bihar,9,13,0
7350053,75,12,single,rented,no,Technical_writer,Tiruppur,Tamil_Nadu,11,11,0
4465809,25,6,single,rented,no,Architect,Amaravati,Andhra_Pradesh,4,12,0
3669270,27,16,single,rented,yes,Aviator,Gaya,Bihar,8,12,0
2675511,69,3,single,rented,no,Chartered_Accountant,Vijayanagaram,Andhra_Pradesh,3,10,0
4485310,49,7,married,rented,no,Magistrate,Siliguri,West_Bengal,7,14,0
6487755,78,12,married,owned,no,Consultant,Ghaziabad,Uttar_Pradesh,6,11,0
1016509,42,12,single,rented,no,Politician,Alappuzha,Kerala,10,13,0
3336849,22,2,single,rented,no,Librarian,Warangal[11][12],Telangana,2,14,0
8803350,26,6,single,rented,no,Economist,Tiruvottiyur,Tamil_Nadu,5,10,0
8416838,61,16,single,rented,yes,Computer_hardware_engineer,Kalyan-Dombivli,Maharashtra,9,11,0
6425594,75,6,single,rented,no,Secretary,Madurai,Tamil_Nadu,6,11,0
8830162,77,18,single,rented,no,Surgeon,Jaunpur,Uttar_Pradesh,14,13,0
8615779,51,20,married,rented,yes,Biomedical_Engineer,Aligarh,Uttar_Pradesh,6,14,0
3550881,47,8,single,rented,no,Engineer,Serampore,West_Bengal,8,13,0
549784,63,4,single,owned,yes,Aviator,North_Dumdum,West_Bengal,4,13,0
9370149,35,18,single,rented,no,Politician,Bulandshahr,Uttar_Pradesh,6,11,0
2446503,30,6,single,rented,no,Statistician,Bhopal,Madhya_Pradesh,6,14,0
9726816,73,0,single,rented,no,Chef,Aurangabad,Maharashtra,0,11,0
1373486,59,17,single,rented,yes,Scientist,Kanpur,Uttar_Pradesh,5,14,0
4417164,42,12,single,rented,no,Web_designer,Vellore,Tamil_Nadu,8,14,0
1975538,40,9,single,rented,yes,Police_officer,Pondicherry,Puducherry,9,12,0
8841707,53,13,single,rented,no,Biomedical_Engineer,Farrukhabad,Uttar_Pradesh,3,12,0
1606109,42,3,single,rented,no,Engineer,Siliguri,West_Bengal,3,13,0
489402,61,10,single,rented,no,Economist,Guna,Madhya_Pradesh,10,12,0
6870039,48,0,single,rented,no,Graphic_Designer,Jalandhar,Punjab,0,13,0
6044042,22,3,single,rented,yes,Aviator,Belgaum,Karnataka,3,10,0
7091843,60,20,single,rented,no,Biomedical_Engineer,Chittoor[28],Andhra_Pradesh,3,13,0
1275642,40,11,single,rented,no,Technical_writer,Gangtok,Sikkim,11,10,0
5032273,53,2,single,rented,no,Computer_operator,Gandhidham,Gujarat,2,12,0
9264506,60,7,single,rented,yes,Consultant,Sultan_Pur_Majra,Delhi,7,12,0
462027,45,3,single,rented,no,Artist,Hapur,Uttar_Pradesh,3,14,0
383685,58,4,single,rented,no,Lawyer,Panchkula,Haryana,4,10,0
7064604,74,3,single,rented,no,Petroleum_Engineer,Thrissur,Kerala,3,12,0
8757417,69,5,single,rented,yes,Statistician,Jaunpur,Uttar_Pradesh,5,10,0
1769969,60,3,single,rented,yes,Civil_engineer,Davanagere,Karnataka,3,11,0
3879782,75,8,single,rented,no,Fashion_Designer,Ongole,Andhra_Pradesh,8,14,0
4195478,52,12,single,owned,no,Aviator,Panipat,Haryana,5,13,0
7848654,55,9,single,rented,no,Software_Developer,Patna,Bihar,9,13,0
9976619,71,5,single,rented,no,Artist,New_Delhi,Delhi,4,12,0
1140203,50,18,single,rented,no,Architect,Kharagpur,West_Bengal,13,13,0
7702379,76,6,single,rented,no,Biomedical_Engineer,Vasai-Virar,Maharashtra,6,10,0
3318401,73,15,single,rented,yes,Surveyor,Silchar,Assam,8,11,0
9803840,54,18,single,rented,no,Artist,Salem,Tamil_Nadu,5,10,0
5136629,76,6,married,rented,no,Artist,Lucknow,Uttar_Pradesh,6,13,0
8072538,22,2,single,rented,no,Chef,Ahmednagar,Maharashtra,2,12,0
7998315,65,13,single,rented,no,Army_officer,Rajpur_Sonarpur,West_Bengal,4,12,0
6754675,55,11,single,rented,no,Microbiologist,Kota[6],Rajasthan,6,10,0
1536602,44,5,single,rented,no,Mechanical_engineer,Berhampore,West_Bengal,5,12,0
111042,58,18,single,rented,yes,Surveyor,Patiala,Punjab,14,11,0
3411403,43,14,single,rented,no,Magistrate,Tumkur,Karnataka,6,14,0
3921208,43,20,single,rented,yes,Financial_Analyst,Buxar[37],Bihar,11,12,0
